engine,kind,phash,dataset,split,seed,n,n_budget_truncated,acc_orig,acc_strict,acc_perm,acc_matched_strict,acc_matched_perm,unparsed_orig,unparsed_strict,mean_think
vllm,noop,2217fed51d,aime,test,1,30,16,0.4,0.4,0.4,0.16666666666666666,0.16666666666666666,0.09999999999999998,0.09999999999999998,13265.833333333334
vllm,noop,2217fed51d,aime,test,2,30,12,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.1,0.13333333333333333,0.06666666666666665,0.06666666666666665,13119.066666666668
vllm,noop,2217fed51d,aime,test,3,30,16,0.4,0.4,0.4,0.13333333333333333,0.13333333333333333,0.09999999999999998,0.09999999999999998,14070.033333333333
vllm,noop,2217fed51d,gpqa_diamond,test,0,198,102,0.40404040404040403,0.40404040404040403,0.4494949494949495,0.2777777777777778,0.2878787878787879,0.1262626262626263,0.1262626262626263,6055.111111111111
vllm,noop,2217fed51d,gpqa_diamond,test,1,198,118,0.36363636363636365,0.36363636363636365,0.4292929292929293,0.23737373737373738,0.2727272727272727,0.16161616161616166,0.16161616161616166,6431.974747474747
vllm,noop,2217fed51d,gpqa_diamond,test,2,198,102,0.36363636363636365,0.36363636363636365,0.40404040404040403,0.25757575757575757,0.2878787878787879,0.16161616161616166,0.16161616161616166,6610.10101010101
vllm,noop,2217fed51d,gpqa_diamond,test,3,198,98,0.3939393939393939,0.3939393939393939,0.43434343434343436,0.24242424242424243,0.25757575757575757,0.1515151515151515,0.1515151515151515,6631.530303030303
vllm,noop,2217fed51d,gsm8k,test,0,250,1,0.928,0.928,0.928,0.928,0.928,0.0,0.0,1263.796
vllm,noop,2217fed51d,gsm8k,test,1,250,2,0.908,0.908,0.912,0.904,0.908,0.0040000000000000036,0.0040000000000000036,1480.22
vllm,noop,2217fed51d,gsm8k,test,2,250,0,0.928,0.928,0.928,0.928,0.928,0.0,0.0,1397.164
vllm,noop,2217fed51d,gsm8k,test,3,250,0,0.928,0.928,0.932,0.928,0.932,0.008000000000000007,0.008000000000000007,1525.976
vllm,noop,2217fed51d,math500,test,0,500,113,0.924,0.924,0.926,0.714,0.728,0.026000000000000023,0.026000000000000023,3571.606
vllm,noop,2217fed51d,math500,test,1,500,103,0.924,0.924,0.926,0.744,0.754,0.026000000000000023,0.026000000000000023,3435.172
vllm,noop,2217fed51d,math500,test,2,500,118,0.922,0.922,0.924,0.712,0.724,0.020000000000000018,0.020000000000000018,3427.632
vllm,noop,2217fed51d,math500,test,3,500,111,0.924,0.924,0.924,0.73,0.75,0.030000000000000027,0.030000000000000027,3756.908
hf,noop,5391bd1826,aime,test,0,30,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,12449.5
hf,noop,5391bd1826,gpqa_diamond,test,0,198,120,0.3838383838383838,0.3838383838383838,0.4292929292929293,0.25252525252525254,0.2727272727272727,0.11616161616161613,0.11616161616161613,6572.914141414141
hf,noop,5391bd1826,gsm8k,test,0,250,0,0.928,0.928,0.932,0.928,0.932,0.0040000000000000036,0.0040000000000000036,1387.108
hf,noop,5391bd1826,math500,test,0,500,120,0.94,0.94,0.94,0.732,0.752,0.006000000000000005,0.006000000000000005,3239.818
vllm,static_budget,974b1c9039,aime,test,0,30,25,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.4666666666666667,2035.9666666666667
vllm,static_budget,974b1c9039,aime,test,1,30,25,0.2,0.2,0.2,0.1,0.13333333333333333,0.6333333333333333,0.6333333333333333,2042.2333333333333
vllm,static_budget,974b1c9039,aime,test,2,30,26,0.23333333333333334,0.23333333333333334,0.26666666666666666,0.1,0.1,0.6333333333333333,0.6333333333333333,2032.7666666666667
vllm,static_budget,974b1c9039,aime,test,3,30,23,0.2,0.2,0.23333333333333334,0.1,0.1,0.6,0.6,2046.3
vllm,static_budget,974b1c9039,gpqa_diamond,test,0,198,96,0.4494949494949495,0.4494949494949495,0.46464646464646464,0.3434343434343434,0.35858585858585856,0.06060606060606055,0.06060606060606055,1935.9747474747476
vllm,static_budget,974b1c9039,gpqa_diamond,test,1,198,97,0.3484848484848485,0.3484848484848485,0.35858585858585856,0.25757575757575757,0.26262626262626265,0.09595959595959591,0.09595959595959591,1908.1313131313132
vllm,static_budget,974b1c9039,gpqa_diamond,test,2,198,100,0.40404040404040403,0.40404040404040403,0.41414141414141414,0.30303030303030304,0.30808080808080807,0.08080808080808077,0.08080808080808077,1895.1969696969697
vllm,static_budget,974b1c9039,gpqa_diamond,test,3,198,97,0.41919191919191917,0.41919191919191917,0.43434343434343436,0.30808080808080807,0.31313131313131315,0.06565656565656564,0.06565656565656564,1924.3434343434344
vllm,static_budget,974b1c9039,gsm8k,test,0,250,5,0.932,0.932,0.932,0.928,0.932,0.0040000000000000036,0.0040000000000000036,1115.072
vllm,static_budget,974b1c9039,gsm8k,test,1,250,5,0.892,0.892,0.892,0.892,0.892,0.016000000000000014,0.016000000000000014,1155.344
vllm,static_budget,974b1c9039,gsm8k,test,2,250,7,0.916,0.916,0.916,0.912,0.912,0.008000000000000007,0.008000000000000007,1140.048
vllm,static_budget,974b1c9039,gsm8k,test,3,250,5,0.924,0.924,0.928,0.924,0.928,0.01200000000000001,0.01200000000000001,1123.888
vllm,static_budget,974b1c9039,math500,test,0,500,148,0.814,0.814,0.818,0.676,0.69,0.14600000000000002,0.14600000000000002,1705.808
vllm,static_budget,974b1c9039,math500,test,1,500,148,0.814,0.814,0.824,0.676,0.692,0.14400000000000002,0.14400000000000002,1676.826
vllm,static_budget,974b1c9039,math500,test,2,500,143,0.816,0.816,0.83,0.692,0.704,0.14,0.14,1675.684
vllm,static_budget,974b1c9039,math500,test,3,500,143,0.816,0.816,0.83,0.674,0.702,0.15200000000000002,0.15000000000000002,1668.96
hf,full,dac4beda09,gsm8k,dev,0,200,5,0.84,0.9,0.9,0.9,0.9,0.13,0.04500000000000004,717.4
hf,full,dac4beda09,math_train,dev,0,800,208,0.60625,0.63125,0.6425,0.63,0.64375,0.32499999999999996,0.29125,2045.1475
