engine,kind,phash,dataset,split,seed,n,n_budget_truncated,acc_orig,acc_strict,acc_perm,acc_matched_strict,acc_matched_perm,unparsed_orig,unparsed_strict,mean_think
vllm,concise_prompt,5a781303f9,aime,test,4,30,8,0.2,0.2,0.2,0.1,0.1,0.16666666666666663,0.16666666666666663,15679.333333333334
vllm,concise_prompt,5a781303f9,aime,test,5,30,13,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.1333333333333333,0.1333333333333333,13504.533333333333
vllm,concise_prompt,5a781303f9,aime,test,6,30,12,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.1333333333333333,0.1333333333333333,13424.733333333334
vllm,concise_prompt,5a781303f9,aime,test,7,30,15,0.3,0.3,0.3,0.13333333333333333,0.16666666666666666,0.09999999999999998,0.09999999999999998,15053.133333333333
vllm,concise_prompt,5a781303f9,gpqa_diamond,test,0,198,55,0.2777777777777778,0.2777777777777778,0.29292929292929293,0.20707070707070707,0.21212121212121213,0.1262626262626263,0.1262626262626263,6205.131313131313
vllm,concise_prompt,5a781303f9,gpqa_diamond,test,1,198,55,0.2777777777777778,0.2777777777777778,0.30808080808080807,0.22727272727272727,0.2474747474747475,0.1262626262626263,0.1262626262626263,6512.171717171717
vllm,concise_prompt,5a781303f9,gpqa_diamond,test,2,198,58,0.30303030303030304,0.30303030303030304,0.32323232323232326,0.25252525252525254,0.2727272727272727,0.1262626262626263,0.1262626262626263,6279.30303030303
vllm,concise_prompt,5a781303f9,gpqa_diamond,test,3,198,62,0.25757575757575757,0.25757575757575757,0.2828282828282828,0.21212121212121213,0.23232323232323232,0.13636363636363635,0.13636363636363635,7059.484848484848
vllm,concise_prompt,5a781303f9,gpqa_diamond,test,4,198,52,0.29797979797979796,0.29797979797979796,0.3181818181818182,0.2474747474747475,0.25757575757575757,0.11111111111111116,0.11111111111111116,6469.292929292929
vllm,concise_prompt,5a781303f9,gpqa_diamond,test,5,198,61,0.3383838383838384,0.3383838383838384,0.35858585858585856,0.2727272727272727,0.2828282828282828,0.11111111111111116,0.11111111111111116,7517.373737373738
vllm,concise_prompt,5a781303f9,gpqa_diamond,test,6,198,64,0.32323232323232326,0.32323232323232326,0.3333333333333333,0.26262626262626265,0.2676767676767677,0.1262626262626263,0.1262626262626263,6945.606060606061
vllm,concise_prompt,5a781303f9,gpqa_diamond,test,7,198,61,0.29292929292929293,0.29292929292929293,0.31313131313131315,0.24242424242424243,0.25757575757575757,0.11616161616161613,0.11616161616161613,6552.085858585859
vllm,concise_prompt,5a781303f9,gsm8k,dev,0,200,0,0.865,0.87,0.87,0.87,0.87,0.0050000000000000044,0.0,178.695
vllm,concise_prompt,5a781303f9,gsm8k,test,0,250,2,0.764,0.764,0.764,0.764,0.764,0.0,0.0,357.208
